Item,Fixation,Con Target Region,Incon Target Region
84,Upper,Upper,Lower
104,Upper,Upper,Middle
104,Upper,Upper,Middle
34,Lower,Lower,Middle
34,Lower,Lower,Middle
64,Middle,Middle,Upper
64,Middle,Middle,Upper
64,Middle,Middle,Upper
64,Middle,Middle,Upper
114,Upper,Upper,Lower
114,Upper,Upper,Lower
114,Upper,Upper,Lower
44,Middle,Middle,Upper
44,Middle,Middle,Upper
44,Middle,Middle,Upper
44,Middle,Middle,Upper
44,Middle,Middle,Upper
44,Middle,Middle,Upper
24,Middle,Lower,Upper
24,Middle,Lower,Upper
24,Middle,Lower,Upper
54,Middle,Middle,Lower
54,Lower,Middle,Lower
54,Middle,Middle,Lower
94,Middle,Upper,Lower
94,Upper,Upper,Lower
94,Upper,Upper,Lower
5,Middle,Lower,Upper
5,Lower,Lower,Upper
5,Lower,Lower,Upper
75,Middle,Middle,Middle
75,Middle,Middle,Middle
75,Middle,Middle,Middle
55,Middle,Middle,Upper
55,Upper,Middle,Upper
55,Middle,Middle,Upper
55,Middle,Middle,Upper
65,Middle,Middle,Upper
65,Middle,Middle,Upper
65,Middle,Middle,Upper
65,Middle,Middle,Upper
65,Middle,Middle,Upper
65,Middle,Middle,Upper
95,Middle,Upper,Middle
95,Upper,Upper,Middle
95,Upper,Upper,Middle
95,Upper,Upper,Middle
95,Upper,Upper,Middle
95,Upper,Upper,Middle
95,Upper,Upper,Middle
95,Upper,Upper,Middle
95,Upper,Upper,Middle
95,Upper,Upper,Middle
45,Middle,Middle,Upper
45,Middle,Middle,Upper
45,Middle,Middle,Upper
15,Middle,Middle,Upper
15,Middle,Middle,Upper
15,Middle,Middle,Upper
15,Middle,Middle,Upper
105,Middle,Upper,Lower
105,Middle,Upper,Lower
105,Upper,Upper,Lower
105,Upper,Upper,Lower
25,Middle,Lower,Middle
25,Lower,Lower,Middle
25,Lower,Lower,Middle
85,Middle,Upper,Middle
85,Upper,Upper,Middle
115,Upper,Upper,Lower
115,Upper,Upper,Lower
115,Upper,Upper,Lower
35,Lower,Lower,Middle
35,Lower,Lower,Middle
35,Lower,Lower,Middle
35,Lower,Lower,Middle
35,Lower,Lower,Middle
35,Lower,Lower,Middle
6,Middle,Lower,Middle
6,Middle,Lower,Middle
6,Lower,Lower,Middle
6,Middle,Lower,Middle
6,Lower,Lower,Middle
6,Lower,Lower,Middle
86,Middle,Upper,Middle
86,Middle,Upper,Middle
86,Middle,Upper,Middle
86,Middle,Upper,Middle
86,Upper,Upper,Middle
86,Upper,Upper,Middle
86,Upper,Upper,Middle
16,Middle,Lower,Middle
16,Middle,Lower,Middle
16,Upper,Lower,Middle
16,Middle,Lower,Middle
16,Lower,Lower,Middle
16,Lower,Lower,Middle
16,Lower,Lower,Middle
16,Middle,Lower,Middle
16,Middle,Lower,Middle
16,Lower,Lower,Middle
16,Lower,Lower,Middle
26,Middle,Lower,Upper
26,Middle,Lower,Upper
26,Lower,Lower,Upper
26,Lower,Lower,Upper
26,Middle,Lower,Upper
26,Middle,Lower,Upper
26,Lower,Lower,Upper
26,Lower,Lower,Upper
106,Middle,Upper,Middle
106,Middle,Upper,Middle
106,Middle,Upper,Middle
106,Middle,Upper,Middle
106,Lower,Upper,Middle
106,Lower,Upper,Middle
106,Lower,Upper,Middle
106,Middle,Upper,Middle
106,Middle,Upper,Middle
106,Lower,Upper,Middle
106,Middle,Upper,Middle
106,Upper,Upper,Middle
106,Upper,Upper,Middle
106,Upper,Upper,Middle
106,Upper,Upper,Middle
106,Upper,Upper,Middle
106,Middle,Upper,Middle
106,Middle,Upper,Middle
106,Upper,Upper,Middle
106,Upper,Upper,Middle
106,Middle,Upper,Middle
106,Middle,Upper,Middle
106,Middle,Upper,Middle
106,Middle,Upper,Middle
106,Middle,Upper,Middle
56,Middle,Middle,Upper
56,Middle,Middle,Upper
56,Middle,Middle,Upper
56,Middle,Middle,Upper
56,Middle,Middle,Upper
66,Middle,Middle,Lower
66,Middle,Middle,Lower
66,Middle,Middle,Lower
116,Middle,Upper,Middle
116,Upper,Upper,Middle
116,Upper,Upper,Middle
76,Middle,Middle,Lower
76,Middle,Middle,Lower
76,Middle,Middle,Lower
36,Middle,Lower,Middle
36,Lower,Lower,Middle
36,Lower,Lower,Middle
46,Upper,Upper,Lower
46,Upper,Upper,Lower
46,Upper,Upper,Lower
46,Lower,Upper,Lower
46,Lower,Upper,Lower
46,Middle,Upper,Lower
46,Upper,Upper,Lower
96,Middle,Upper,Lower
96,Upper,Upper,Lower
96,Upper,Upper,Lower
96,Upper,Upper,Lower
96,Upper,Upper,Lower
57,Middle,Middle,Lower
57,Middle,Middle,Lower
57,Upper,Middle,Lower
57,Middle,Middle,Lower
57,Middle,Middle,Lower
57,Middle,Middle,Lower
87,Middle,Upper,Middle
87,Middle,Upper,Middle
87,Upper,Upper,Middle
87,Middle,Upper,Middle
87,Upper,Upper,Middle
107,Middle,Upper,Lower
107,Upper,Upper,Lower
7,Middle,Lower,Middle
7,Middle,Lower,Middle
