Cond,Item,Con_X1,Con_Y1,Con_X2,Con_Y2,Incon_X1,Incon_Y1,Incon_X2,InconY2
2,37,504,579,799,599,654,111,799,175
2,38,190,443,266,488,632,193,697,242
2,39,666,374,799,508,391,0,533,85
2,40,434,573,529,590,168,442,234,464
2,41,29,308,70,392,567,150,611,221
2,42,635,225,701,324,636,0,694,83
2,43,1,170,107,402,695,372,799,599
2,44,481,330,559,378,336,93,396,136
2,45,207,255,264,362,731,11,799,123
2,46,657,270,703,344,63,503,109,578
2,47,12,257,95,355,1,445,57,556
2,48,780,252,799,445,692,203,714,367
2,49,266,337,317,456,37,466,87,584
2,50,223,361,248,393,360,99,384,129
2,51,648,334,682,354,697,495,734,515
2,52,144,267,195,356,608,41,650,131
2,53,104,316,205,345,577,227,680,253
2,54,602,290,707,336,172,424,227,469
2,55,737,286,786,368,560,52,602,132
2,56,144,314,234,405,82,146,159,239
2,57,9,260,39,376,312,416,344,535
2,58,339,405,361,514,353,57,367,157
2,59,183,335,206,379,345,558,371,598
2,60,629,316,731,440,190,485,293,599
2,61,75,369,141,427,293,543,359,599
2,62,527,329,581,366,570,527,626,565
2,63,381,272,430,314,311,132,360,174
2,64,57,296,133,363,30,100,107,144
2,65,105,334,164,397,613,123,663,187
2,66,43,298,184,369,575,535,714,599
2,67,129,232,217,283,711,407,777,458
2,68,305,246,324,302,565,437,584,495
2,69,139,299,196,337,338,47,393,86
2,70,0,242,51,388,748,463,799,599
2,71,631,282,657,336,658,506,683,562
2,72,226,250,255,325,431,74,461,148
2,73,204,245,247,335,83,48,126,133
2,74,693,272,768,324,584,544,658,598
2,75,469,254,542,339,693,152,771,243
2,76,154,253,223,332,714,470,783,549
2,77,671,230,751,424,0,337,70,533
2,78,166,322,224,385,629,499,688,562
2,79,104,280,158,306,391,501,446,527
2,80,729,302,792,331,19,53,82,84
2,81,669,155,729,314,54,95,115,249
2,82,282,0,482,76,1,198,76,399
2,83,87,126,148,154,38,360,108,399
2,84,741,111,791,164,229,368,278,421
2,85,578,72,649,198,643,324,772,392
2,86,446,148,588,271,684,303,799,427
2,87,132,0,215,101,520,318,582,452
2,88,611,96,724,191,699,398,799,510
2,89,74,76,151,149,457,300,537,346
2,90,294,83,338,133,732,416,799,525
2,91,77,73,106,154,74,328,153,356
2,92,131,72,190,136,99,509,175,547
2,93,704,164,799,262,0,514,71,599
2,94,701,19,753,169,753,318,799,467
2,95,26,38,270,181,600,305,799,432
2,96,702,0,799,57,544,396,603,516
2,97,468,2,551,155,689,391,772,546
2,98,6,0,136,89,700,483,795,599
2,99,657,1,732,94,127,194,206,245
2,100,219,146,249,218,706,364,739,434
2,101,62,124,117,192,204,305,255,357
2,102,486,121,535,173,575,369,619,422
2,103,18,96,107,170,716,410,799,485
2,104,612,5,644,89,97,246,127,333
2,105,0,1,73,200,394,451,568,553
2,106,478,1,556,180,1,238,59,394
2,107,701,64,755,119,81,558,148,585
2,108,47,1,145,106,10,471,101,556
2,109,138,149,153,165,523,401,539,417
2,110,99,0,228,173,328,474,457,599
2,111,108,99,162,153,526,522,587,586
2,112,203,0,341,86,43,512,152,599
2,113,1,144,88,266,174,374,297,449
2,114,588,1,799,112,0,348,112,599
2,115,30,0,83,107,683,532,790,583
2,116,585,0,687,166,698,287,799,449
2,117,359,1,627,65,568,537,799,599
2,118,33,33,107,143,640,449,799,479
2,119,686,0,799,215,258,504,465,599
2,120,218,7,371,226,22,392,135,599
3,1,432,551,500,590,536,428,586,470
3,2,0,424,95,508,174,284,270,341
3,3,70,550,102,582,577,274,609,306
3,4,690,453,719,493,651,201,684,241
3,5,704,478,780,543,131,16,209,74
3,6,103,543,186,593,135,257,216,311
3,7,622,539,708,599,2,343,78,401
3,8,716,315,798,528,146,60,229,257
3,9,1,409,84,591,641,280,725,456
3,10,649,508,706,597,8,235,56,294
3,11,0,424,67,564,692,304,764,439
3,12,478,519,699,593,144,318,409,398
3,13,186,551,249,591,547,384,599,433
3,14,165,427,218,519,659,217,712,298
3,15,180,362,292,503,467,1,579,147
3,16,140,498,251,599,151,292,260,373
